,No,제목,학과,과정,년도,href,RNN_SCORE
0,31,LMU 경험보고서,독어독문학과,학부,2019,/partner/expReport.asp?id=16606&page=1&bgbn=R,0.6901764869689941
1,30,LMU 경험보고서,경제학과,학부,2019-2020,/partner/expReport.asp?id=16479&page=1&bgbn=R,0.6901764869689941
2,29,2019-2 LMU!,독어독문학과,학부,2019-2,/partner/expReport.asp?id=16434&page=1&bgbn=R,0.515648603439331
3,28,"살기 좋은 곳, 여행다니기 편한 곳을 원한다면 뮌헨",아시아학부,학부,2018-2019,/partner/expReport.asp?id=15700&page=1&bgbn=R,0.9501526355743408
4,27,뮌헨에서의 행복했던 6개월,독어독문학과,학부,2018,/partner/expReport.asp?id=15136&page=1&bgbn=R,0.8710159063339233
5,26,LMU 경험보고서,신학과,학부,2018,/partner/expReport.asp?id=15089&page=1&bgbn=R,0.6901764869689941
6,25,"살기 좋은 도시, 뮌헨",문화인류학과,학부,2018,/partner/expReport.asp?id=15022&page=1&bgbn=R,0.6898646354675293
7,24,LMU 경험보고서,철학과,학부,2017-2018,/partner/expReport.asp?id=14968&page=1&bgbn=R,0.6901764869689941
8,23,LMU 파견보고서,독어독문학과,학부,2017-2,/partner/expReport.asp?id=14711&page=1&bgbn=R,0.681797981262207
9,22,LMU 경험보고서,독어독문학과,학부,2017-2,/partner/expReport.asp?id=14646&page=1&bgbn=R,0.6901764869689941
10,21,LMU 경험보고서,독어독문학과,학부,2017-1,/partner/expReport.asp?id=14341&page=2&bgbn=R,0.6901764869689941
11,20,뮌헨대학교(LMU) 경험보고서,독어독문학과,학부,2017-1,/partner/expReport.asp?id=14303&page=2&bgbn=R,0.7628178596496582
12,19,뮌헨대학교 경험보고서,독어독문학과,학부,2016-2,/partner/expReport.asp?id=14152&page=2&bgbn=R,0.7756832838058472
13,18,뮌헨에서의 즐거웠던 6개월,독어독문학과,학부,2016,/partner/expReport.asp?id=13356&page=2&bgbn=R,0.8625668287277222
14,17,"꿈의 대학, 뮌헨대학교에서의 6개월",독어독문학과,학부,2015 WS,/partner/expReport.asp?id=12839&page=2&bgbn=R,0.8112211227416992
15,16,드디어 독일에 가다,보건행정학과,학부,2015-2,/partner/expReport.asp?id=12798&page=2&bgbn=R,0.8515264987945557
16,15,2014 봄학기,경제학과,학부,2014,/partner/expReport.asp?id=12030&page=2&bgbn=R,0.5584536194801331
17,14,뮌헨에서의 꿈 같았던 한 학기,독어독문학과,학부,2014 WS,/partner/expReport.asp?id=11840&page=2&bgbn=R,0.8912417888641357
18,13,LMU SS 2014,독어독문학과,학부,2014,/partner/expReport.asp?id=7477&page=2&bgbn=R,0.515648603439331
19,12,LMU 경험보고서,독어독문학과,학부,2013-2014,/partner/expReport.asp?id=7420&page=2&bgbn=R,0.6901764869689941
20,11,LMU 파견보고서,독어독문학과,학부,2013,/partner/expReport.asp?id=7378&page=3&bgbn=R,0.681797981262207
21,10,LMU 경험보고서,사학과,학부,2012-2013,/partner/expReport.asp?id=7039&page=3&bgbn=R,0.6901764869689941
22,9,an der LMU,독어독문학과,학부,2012-2013,/partner/expReport.asp?id=7016&page=3&bgbn=R,0.515648603439331
23,8,뮌헨에서의 즐거운 2013년 봄 학기를 보내며...,경제학과,학부,2013,/partner/expReport.asp?id=6730&page=3&bgbn=R,0.9437819719314575
24,7,LMU 경험보고서,응용통계학과,학부,2012,/partner/expReport.asp?id=5911&page=3&bgbn=R,0.6901764869689941
25,6,LMU 경험보고서,문헌정보학과,학부,2011,/partner/expReport.asp?id=5478&page=3&bgbn=R,0.6901764869689941
26,5,Muenchen에서의 1년,영어영문학과,학부,2007-2008,/partner/expReport.asp?id=3057&page=3&bgbn=R,0.731432318687439
27,4,LMU 경험보고서,영어영문학과,학부,2006-2007,/partner/expReport.asp?id=2475&page=3&bgbn=R,0.6901764869689941
28,3,University of Munich(LMU),독어독문학,학부,2005-2006,/partner/expReport.asp?id=2077&page=3&bgbn=R,0.5139521360397339
29,2,LMU,법학과,학부,2004,/partner/expReport.asp?id=1463&page=3&bgbn=R,0.50729900598526
30,1,LMU,유럽어문학부,학부,2002,/partner/expReport.asp?id=785&page=4&bgbn=R,0.50729900598526
